song,days_on_chart,avg_rank,best_rank,worst_rank,rank_volatility,avg_popularity,duration_min,days_norm,rank_norm,volatility_norm,best_rank_norm,performance_score
meet the grahams,13,13.923076923076923,5,35,7.931598603702561,84.23076923076923,6.535633333333333,0.024253731343283583,0.8607692307692307,0.7329291829367699,0.95,0.5730509550330569
Heading South,213,40.6150234741784,27,50,6.027621924172675,84.82159624413146,2.8615333333333335,0.39738805970149255,0.593849765258216,0.797039412523276,0.73,0.5726371799882256
FTCU,54,18.796296296296298,6,50,10.427430497417694,87.22222222222223,2.86895,0.10074626865671642,0.812037037037037,0.6488901516630731,0.94,0.5723631721591209
making the bed,14,14.571428571428571,7,26,6.477348528220784,85.35714285714286,3.314433333333333,0.026119402985074626,0.8542857142857143,0.7818963300755419,0.9299999999999999,0.5723314240523303
8am in Charlotte,7,14.714285714285714,13,18,1.7043362064926935,66.57142857142857,4.44745,0.013059701492537313,0.8528571428571429,0.9426120148079647,0.87,0.5713320970031845
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",31,16.225806451612904,4,45,10.138078967994396,89.48387096774194,3.65755,0.05783582089552239,0.837741935483871,0.6586331244536403,0.96,0.5713155271781517
Sweater Weather,183,37.24590163934426,21,50,7.906713806698787,90.93442622950819,4.006669034608379,0.3414179104477612,0.6275409836065574,0.7337670976372375,0.79,0.5705123226827353
STARS,6,14.833333333333334,4,25,7.756717518813397,59.333333333333336,1.9206333333333336,0.011194029850746268,0.8516666666666667,0.7388177353665979,0.96,0.5678830173177543
7969 Santa,7,15.0,9,23,4.864839839775475,67.14285714285714,4.330766666666666,0.013059701492537313,0.85,0.8361923219003945,0.91,0.5676901277124274
Dance The Night (From Barbie The Album),48,18.125,8,46,10.2596607301544,94.79166666666667,2.942983333333333,0.08955223880597014,0.81875,0.6545392535730714,0.92,0.5673597089393967
eternal sunshine,13,15.538461538461538,5,28,8.089245789064481,84.15384615384616,3.5033333333333334,0.024253731343283583,0.8446153846153847,0.7276209260889419,0.95,0.566866283194428
Let It Snow! Let It Snow! Let It Snow!,42,15.523809523809524,6,48,13.268775184230954,90.4047619047619,1.9524333333333335,0.07835820895522388,0.8447619047619048,0.5532170994852624,0.94,0.5664137497495213
"""Slut!"" (Taylor's Version) (From The Vault)",26,15.5,3,38,12.130127781684742,86.76923076923077,3.00635,0.048507462686567165,0.845,0.5915573518529231,0.97,0.5658833471255907
Now That We Don't Talk (Taylor's Version) (From The Vault),34,14.676470588235293,2,46,15.193141571187281,88.29411764705883,2.4406,0.06343283582089553,0.8532352941176471,0.4884203127374398,0.98,0.565675876752234
FINA,15,16.933333333333334,2,28,9.176574731866122,83.6,3.60545,0.027985074626865673,0.8306666666666667,0.6910086561443971,0.98,0.565628975067176
Endless Fashion (feat. Nicki Minaj),7,15.142857142857142,6,24,7.358183005529092,80.71428571428571,3.6117166666666667,0.013059701492537313,0.8485714285714285,0.7522370904561317,0.94,0.5647946045680012
Party In The U.S.A.,7,14.0,4,29,9.763879010584539,80.71428571428571,3.367766666666667,0.013059701492537313,0.86,0.6712330924252702,0.96,0.564694204764915
Type Shit,85,25.67058823529412,3,50,13.612309061404433,88.61176470588235,3.804433333333333,0.15858208955223882,0.7432941176470589,0.5416497121463733,0.97,0.5638216437343916
bye,13,16.846153846153847,2,33,9.538047964565862,85.92307692307692,2.7487833333333334,0.024253731343283583,0.8315384615384616,0.6788372192844253,0.98,0.5634109894370533
Whatever She Wants,79,23.40506329113924,4,50,14.5386478644581,87.82278481012658,2.689033333333333,0.14738805970149255,0.7659493670886076,0.5104582621789695,0.96,0.562713925594432
Guess featuring Billie Eilish,66,25.454545454545453,4,43,9.916857160615752,90.81818181818181,2.3888333333333334,0.12313432835820895,0.7454545454545455,0.6660820501747728,0.96,0.5626143108519414
Lies Lies Lies,106,27.88679245283019,8,48,12.868803736698174,85.26415094339623,3.3011333333333335,0.19776119402985073,0.7211320754716981,0.5666848386677114,0.92,0.5622811281923132
Austin (Boots Stop Workin'),134,31.970149253731343,19,50,7.524336753932427,90.24626865671642,2.8630333333333335,0.25,0.6802985074626866,0.7466424027315812,0.81,0.5622687178850985
ALL RED,20,18.3,1,39,10.54863423437017,89.25,2.46755,0.03731343283582089,0.817,0.644809009553347,0.99,0.561490602447872
